,Bulk,SUB
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,54,1
55,55,1
56,56,1
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,62,1
63,63,1
64,64,1
65,65,1
66,66,1
67,67,1
68,68,1
69,69,1
70,70,1
71,71,1
72,72,1
73,73,1
74,74,1
75,75,1
76,76,1
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,91,1
92,92,1
93,93,1
94,94,1
95,95,1
96,96,1
97,97,1
98,98,1
99,99,1
100,100,1
101,101,1
102,102,1
103,103,1
104,104,1
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
110,110,1
111,111,1
112,112,1
113,113,1
114,114,1
115,115,1
116,116,1
117,117,1
118,118,1
119,119,1
120,120,1
121,121,1
122,122,1
123,123,1
124,124,1
125,125,1
126,126,1
127,127,1
128,128,1
129,129,1
130,130,1
131,131,1
132,132,1
133,133,1
134,134,1
135,135,1
136,136,1
137,137,1
138,138,1
139,139,1
140,140,1
141,141,1
142,142,1
143,143,1
144,144,1
145,145,1
146,146,1
147,147,1
148,148,1
149,149,1
150,150,1
151,151,1
152,152,1
153,153,1
154,154,1
155,155,1
156,156,1
157,157,1
158,158,1
159,159,1
160,160,1
161,161,1
162,162,1
163,163,1
164,164,1
165,165,1
166,166,1
167,0,2
168,1,2
169,2,2
170,3,2
171,4,2
172,5,2
173,6,2
174,7,2
175,8,2
176,9,2
177,10,2
178,11,2
179,12,2
180,13,2
181,14,2
182,15,2
183,16,2
184,17,2
185,18,2
186,19,2
187,20,2
188,21,2
189,22,2
190,23,2
191,24,2
192,25,2
193,26,2
194,27,2
195,28,2
196,29,2
197,30,2
198,31,2
199,32,2
200,33,2
201,34,2
202,35,2
203,36,2
204,37,2
205,38,2
206,39,2
207,40,2
208,41,2
209,42,2
210,43,2
211,44,2
212,45,2
213,46,2
214,47,2
215,48,2
216,49,2
217,50,2
218,51,2
219,52,2
220,53,2
221,54,2
222,55,2
223,56,2
224,57,2
225,58,2
226,59,2
227,60,2
228,61,2
229,62,2
230,63,2
231,64,2
232,65,2
233,66,2
234,67,2
235,68,2
236,69,2
237,70,2
238,71,2
239,72,2
240,73,2
241,74,2
242,75,2
243,76,2
244,77,2
245,78,2
246,79,2
247,80,2
248,81,2
249,82,2
250,83,2
251,84,2
252,85,2
253,86,2
254,87,2
255,88,2
256,89,2
257,90,2
258,91,2
259,92,2
260,93,2
261,94,2
262,95,2
263,96,2
264,97,2
265,98,2
266,99,2
267,100,2
268,101,2
269,102,2
270,103,2
271,104,2
272,105,2
273,106,2
274,107,2
275,108,2
276,109,2
277,110,2
278,111,2
279,112,2
280,113,2
281,114,2
282,115,2
283,116,2
284,117,2
285,118,2
286,119,2
287,120,2
288,121,2
289,122,2
290,123,2
291,124,2
292,125,2
293,126,2
294,127,2
295,128,2
296,129,2
297,130,2
298,131,2
299,132,2
300,133,2
301,134,2
302,135,2
303,136,2
304,137,2
305,138,2
306,139,2
307,140,2
308,141,2
309,142,2
310,143,2
311,144,2
312,145,2
313,146,2
314,147,2
315,148,2
316,149,2
317,150,2
318,151,2
319,152,2
320,153,2
321,154,2
322,155,2
323,156,2
324,157,2
325,158,2
326,159,2
327,160,2
328,161,2
329,162,2
330,163,2
331,164,2
332,165,2
333,166,2
334,167,2
335,168,2
336,169,2
337,170,2
338,171,2
339,172,2
340,173,2
341,174,2
342,175,2
343,176,2
344,177,2
345,178,2
346,179,2
347,180,2
348,181,2
349,182,2
350,183,2
351,0,3
352,1,3
353,2,3
354,3,3
355,4,3
356,5,3
357,6,3
358,7,3
359,8,3
360,9,3
361,10,3
362,11,3
363,12,3
364,13,3
365,14,3
366,15,3
367,16,3
368,17,3
369,18,3
370,19,3
371,20,3
372,21,3
373,22,3
374,23,3
375,24,3
376,25,3
377,26,3
378,27,3
379,28,3
380,29,3
381,30,3
382,31,3
383,32,3
384,33,3
385,34,3
386,35,3
387,36,3
388,37,3
389,38,3
390,39,3
391,40,3
392,41,3
393,42,3
394,43,3
395,44,3
396,45,3
397,46,3
398,47,3
399,48,3
400,49,3
401,50,3
402,51,3
403,52,3
404,53,3
405,54,3
406,55,3
407,56,3
408,57,3
409,58,3
410,59,3
411,60,3
412,61,3
413,62,3
414,63,3
415,64,3
416,65,3
417,66,3
418,67,3
419,68,3
420,69,3
421,70,3
422,71,3
423,72,3
424,73,3
425,74,3
426,75,3
427,76,3
428,77,3
429,78,3
430,79,3
431,80,3
432,81,3
433,82,3
434,83,3
435,84,3
436,85,3
437,86,3
438,87,3
439,88,3
440,89,3
441,90,3
442,91,3
443,92,3
444,93,3
445,94,3
446,95,3
447,96,3
448,97,3
449,98,3
450,99,3
451,100,3
452,101,3
453,102,3
454,103,3
455,104,3
456,105,3
457,106,3
458,107,3
459,108,3
460,109,3
461,110,3
462,111,3
463,112,3
464,113,3
465,114,3
466,115,3
467,116,3
468,117,3
469,118,3
470,119,3
471,120,3
472,121,3
473,122,3
474,123,3
475,124,3
476,125,3
477,126,3
478,127,3
479,128,3
480,129,3
481,130,3
482,131,3
483,132,3
484,133,3
485,134,3
486,135,3
487,136,3
488,137,3
489,138,3
490,139,3
491,140,3
492,141,3
493,142,3
494,143,3
495,144,3
496,145,3
497,146,3
498,147,3
499,148,3
500,149,3
501,150,3
502,151,3
503,152,3
504,153,3
505,154,3
506,155,3
507,156,3
508,157,3
509,158,3
510,159,3
511,160,3
512,161,3
513,162,3
514,163,3
515,164,3
516,165,3
517,166,3
518,167,3
519,168,3
520,169,3
521,170,3
522,171,3
523,172,3
524,173,3
525,0,4
526,1,4
527,2,4
528,3,4
529,4,4
530,5,4
531,6,4
532,7,4
533,8,4
534,9,4
535,10,4
536,11,4
537,12,4
538,13,4
539,14,4
540,15,4
541,16,4
542,17,4
543,18,4
544,19,4
545,20,4
546,21,4
547,22,4
548,23,4
549,24,4
550,25,4
551,26,4
552,27,4
553,28,4
554,29,4
555,30,4
556,31,4
557,32,4
558,33,4
559,34,4
560,35,4
561,36,4
562,37,4
563,38,4
564,39,4
565,40,4
566,41,4
567,42,4
568,43,4
569,44,4
570,45,4
571,46,4
572,47,4
573,48,4
574,49,4
575,50,4
576,51,4
577,52,4
578,53,4
579,54,4
580,55,4
581,56,4
582,57,4
583,58,4
584,59,4
585,60,4
586,61,4
587,62,4
588,63,4
589,64,4
590,65,4
591,66,4
592,67,4
593,68,4
594,69,4
595,70,4
596,71,4
597,72,4
598,73,4
599,74,4
600,75,4
601,76,4
602,77,4
603,78,4
604,79,4
605,80,4
606,81,4
607,82,4
608,83,4
609,84,4
610,85,4
611,86,4
612,87,4
613,88,4
614,89,4
615,90,4
616,91,4
617,92,4
618,93,4
619,94,4
620,95,4
621,96,4
622,97,4
623,98,4
624,99,4
625,100,4
626,101,4
627,102,4
628,103,4
629,104,4
630,105,4
631,106,4
632,107,4
633,108,4
634,109,4
635,110,4
636,111,4
637,112,4
638,113,4
639,114,4
640,115,4
641,116,4
642,117,4
643,118,4
644,119,4
645,120,4
646,121,4
647,122,4
648,123,4
649,124,4
650,125,4
651,126,4
652,127,4
653,128,4
654,129,4
655,130,4
656,131,4
657,132,4
658,133,4
659,134,4
660,135,4
661,136,4
662,137,4
663,138,4
664,139,4
665,140,4
666,141,4
667,142,4
668,143,4
669,144,4
670,145,4
671,146,4
672,147,4
673,148,4
674,149,4
675,150,4
676,151,4
677,152,4
678,153,4
679,154,4
680,155,4
681,156,4
682,157,4
683,158,4
684,159,4
685,160,4
686,0,5
687,1,5
688,2,5
689,3,5
690,4,5
691,5,5
692,6,5
693,7,5
694,8,5
695,9,5
696,10,5
697,11,5
698,12,5
699,13,5
700,14,5
701,15,5
702,16,5
703,17,5
704,18,5
705,19,5
706,20,5
707,21,5
708,22,5
709,23,5
710,24,5
711,25,5
712,26,5
713,27,5
714,28,5
715,29,5
716,30,5
717,31,5
718,32,5
719,33,5
720,34,5
721,35,5
722,36,5
723,37,5
724,38,5
725,39,5
726,40,5
727,41,5
728,42,5
729,43,5
730,44,5
731,45,5
732,46,5
733,47,5
734,48,5
735,49,5
736,50,5
737,51,5
738,52,5
739,53,5
740,54,5
741,55,5
742,56,5
743,57,5
744,58,5
745,59,5
746,60,5
747,61,5
748,62,5
749,63,5
750,64,5
751,65,5
752,66,5
753,67,5
754,68,5
755,69,5
756,70,5
757,71,5
758,72,5
759,73,5
760,74,5
761,75,5
762,76,5
763,77,5
764,78,5
765,79,5
766,80,5
767,81,5
768,82,5
769,83,5
770,84,5
771,85,5
772,86,5
773,87,5
774,88,5
775,89,5
776,90,5
777,91,5
778,92,5
779,93,5
780,94,5
781,95,5
782,96,5
783,97,5
784,98,5
785,99,5
786,100,5
787,101,5
788,102,5
789,103,5
790,104,5
791,105,5
792,106,5
793,107,5
794,108,5
795,109,5
796,110,5
797,111,5
798,112,5
799,113,5
800,114,5
801,115,5
802,116,5
803,117,5
804,118,5
805,119,5
806,120,5
807,121,5
808,122,5
809,123,5
810,124,5
811,125,5
812,126,5
813,127,5
814,128,5
815,129,5
816,130,5
817,131,5
818,132,5
819,133,5
820,134,5
821,135,5
822,136,5
823,137,5
824,138,5
825,139,5
826,0,6
827,1,6
828,2,6
829,3,6
830,4,6
831,5,6
832,6,6
833,7,6
834,8,6
835,9,6
836,10,6
837,11,6
838,12,6
839,13,6
840,14,6
841,15,6
842,16,6
843,17,6
844,18,6
845,19,6
846,20,6
847,21,6
848,22,6
849,23,6
850,24,6
851,25,6
852,26,6
853,27,6
854,28,6
855,29,6
856,30,6
857,31,6
858,32,6
859,33,6
860,34,6
861,35,6
862,36,6
863,37,6
864,38,6
865,39,6
866,40,6
867,41,6
868,42,6
869,43,6
870,44,6
871,45,6
872,46,6
873,47,6
874,48,6
875,49,6
876,50,6
877,51,6
878,52,6
879,53,6
880,54,6
881,55,6
882,56,6
883,57,6
884,58,6
885,59,6
886,60,6
887,61,6
888,62,6
889,63,6
890,64,6
891,65,6
892,66,6
893,67,6
894,68,6
895,69,6
896,70,6
897,71,6
898,72,6
899,73,6
900,74,6
901,75,6
902,76,6
903,77,6
904,78,6
905,79,6
906,80,6
907,81,6
908,82,6
909,83,6
910,84,6
911,85,6
912,86,6
913,87,6
914,88,6
915,89,6
916,90,6
917,91,6
918,92,6
919,93,6
920,94,6
921,95,6
922,96,6
923,97,6
924,98,6
925,99,6
926,100,6
927,101,6
928,102,6
929,103,6
930,104,6
931,105,6
932,106,6
933,107,6
934,108,6
935,109,6
936,110,6
937,111,6
938,112,6
939,113,6
940,114,6
941,115,6
942,116,6
943,117,6
944,118,6
945,119,6
946,120,6
947,121,6
948,122,6
949,123,6
950,124,6
951,125,6
952,126,6
953,127,6
954,128,6
955,129,6
956,130,6
957,131,6
958,132,6
959,133,6
960,134,6
961,135,6
962,136,6
963,137,6
964,138,6
965,139,6
966,140,6
967,141,6
968,142,6
969,143,6
970,144,6
971,145,6
972,146,6
973,147,6
974,148,6
975,149,6
976,150,6
977,151,6
978,152,6
979,153,6
980,154,6
981,155,6
982,156,6
983,157,6
984,158,6
985,159,6
986,160,6
987,161,6
988,162,6
989,163,6
990,164,6
991,165,6
992,166,6
993,167,6
994,168,6
995,169,6
996,170,6
997,171,6
998,172,6
999,173,6
1000,174,6
1001,175,6
1002,176,6
1003,177,6
1004,178,6
1005,179,6
1006,180,6
1007,181,6
1008,182,6
1009,183,6
1010,184,6
1011,185,6
1012,186,6
1013,0,7
1014,1,7
1015,2,7
1016,3,7
1017,4,7
1018,5,7
1019,6,7
1020,7,7
1021,8,7
1022,9,7
1023,10,7
1024,11,7
1025,12,7
1026,13,7
1027,14,7
1028,15,7
1029,16,7
1030,17,7
1031,18,7
1032,19,7
1033,20,7
1034,21,7
1035,22,7
1036,23,7
1037,24,7
1038,25,7
1039,26,7
1040,27,7
1041,28,7
1042,29,7
1043,30,7
1044,31,7
1045,32,7
1046,33,7
1047,34,7
1048,35,7
1049,36,7
1050,37,7
1051,38,7
1052,39,7
1053,40,7
1054,41,7
1055,42,7
1056,43,7
1057,44,7
1058,45,7
1059,46,7
1060,47,7
1061,48,7
1062,49,7
1063,50,7
1064,51,7
1065,52,7
1066,53,7
1067,54,7
1068,55,7
1069,56,7
1070,57,7
1071,58,7
1072,59,7
1073,60,7
1074,61,7
1075,62,7
1076,63,7
1077,64,7
1078,65,7
1079,66,7
1080,67,7
1081,68,7
1082,69,7
1083,70,7
1084,71,7
1085,72,7
1086,73,7
1087,74,7
1088,75,7
1089,76,7
1090,77,7
1091,78,7
1092,79,7
1093,80,7
1094,81,7
1095,82,7
1096,83,7
1097,84,7
1098,85,7
1099,86,7
1100,87,7
1101,88,7
1102,89,7
1103,90,7
1104,91,7
1105,92,7
1106,93,7
1107,94,7
1108,95,7
1109,96,7
1110,97,7
1111,98,7
1112,99,7
1113,100,7
1114,101,7
1115,102,7
1116,103,7
1117,104,7
1118,105,7
1119,106,7
1120,107,7
1121,108,7
1122,109,7
1123,110,7
1124,111,7
1125,112,7
1126,113,7
1127,114,7
1128,115,7
1129,116,7
1130,117,7
1131,118,7
1132,119,7
1133,120,7
1134,121,7
1135,122,7
1136,123,7
1137,124,7
1138,125,7
1139,126,7
1140,127,7
1141,128,7
1142,129,7
1143,130,7
1144,131,7
1145,132,7
1146,133,7
1147,134,7
1148,135,7
1149,136,7
1150,137,7
1151,138,7
1152,139,7
1153,140,7
1154,141,7
1155,142,7
1156,143,7
1157,0,8
1158,1,8
1159,2,8
1160,3,8
1161,4,8
1162,5,8
1163,6,8
1164,7,8
1165,8,8
1166,9,8
1167,10,8
1168,11,8
1169,12,8
1170,13,8
1171,14,8
1172,15,8
1173,16,8
1174,17,8
1175,18,8
1176,19,8
1177,20,8
1178,21,8
1179,22,8
1180,23,8
1181,24,8
1182,25,8
1183,26,8
1184,27,8
1185,28,8
1186,29,8
1187,30,8
1188,31,8
1189,32,8
