,bulk,SUB
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,54,1
55,55,1
56,56,1
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,62,1
63,63,1
64,64,1
65,65,1
66,66,1
67,67,1
68,68,1
69,69,1
70,70,1
71,71,1
72,72,1
73,73,1
74,74,1
75,75,1
76,76,1
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,0,2
91,1,2
92,2,2
93,3,2
94,4,2
95,5,2
96,6,2
97,7,2
98,8,2
99,9,2
100,10,2
101,11,2
102,12,2
103,13,2
104,14,2
105,15,2
106,16,2
107,17,2
108,18,2
109,19,2
110,20,2
111,21,2
112,22,2
113,23,2
114,24,2
115,25,2
116,26,2
117,27,2
118,28,2
119,29,2
120,30,2
121,31,2
122,32,2
123,33,2
124,34,2
125,35,2
126,36,2
127,37,2
128,38,2
129,39,2
130,40,2
131,41,2
132,42,2
133,43,2
134,44,2
135,45,2
136,46,2
137,47,2
138,48,2
139,49,2
140,50,2
141,51,2
142,52,2
143,53,2
144,54,2
145,55,2
146,56,2
147,57,2
148,58,2
149,59,2
150,60,2
151,61,2
152,62,2
153,63,2
154,64,2
155,65,2
156,66,2
157,67,2
158,68,2
159,69,2
160,70,2
161,71,2
162,72,2
163,73,2
164,74,2
165,75,2
166,76,2
167,77,2
168,78,2
169,79,2
170,80,2
171,81,2
172,82,2
173,83,2
174,84,2
175,85,2
176,86,2
177,87,2
178,88,2
179,89,2
180,0,3
181,1,3
182,2,3
183,3,3
184,4,3
185,5,3
186,6,3
187,7,3
188,8,3
189,9,3
190,10,3
191,11,3
192,12,3
193,13,3
194,14,3
195,15,3
196,16,3
197,17,3
198,18,3
199,19,3
200,20,3
201,21,3
202,22,3
203,23,3
204,24,3
205,25,3
206,26,3
207,27,3
208,28,3
209,29,3
210,30,3
211,31,3
212,32,3
213,33,3
214,34,3
215,35,3
216,36,3
217,37,3
218,38,3
219,39,3
220,40,3
221,41,3
222,42,3
223,43,3
224,44,3
225,45,3
226,46,3
227,47,3
228,48,3
229,49,3
230,50,3
231,51,3
232,52,3
233,53,3
234,54,3
235,55,3
236,56,3
237,57,3
238,58,3
239,59,3
240,60,3
241,61,3
242,62,3
243,63,3
244,64,3
245,65,3
246,66,3
247,67,3
248,68,3
249,69,3
250,70,3
251,71,3
252,72,3
253,73,3
254,74,3
255,75,3
256,76,3
257,77,3
258,78,3
259,79,3
260,80,3
261,81,3
262,0,4
263,1,4
264,2,4
265,3,4
266,4,4
267,5,4
268,6,4
269,7,4
270,8,4
271,9,4
272,10,4
273,11,4
274,12,4
275,13,4
276,14,4
277,15,4
278,16,4
279,17,4
280,18,4
281,19,4
282,20,4
283,21,4
284,22,4
285,23,4
286,24,4
287,25,4
288,26,4
289,27,4
290,28,4
291,29,4
292,30,4
293,31,4
294,32,4
295,33,4
296,34,4
297,35,4
298,36,4
299,37,4
300,38,4
301,39,4
302,40,4
303,41,4
304,42,4
305,43,4
306,44,4
307,45,4
308,46,4
309,47,4
310,48,4
311,49,4
312,50,4
313,51,4
314,52,4
315,53,4
316,54,4
317,55,4
318,56,4
319,57,4
320,58,4
321,59,4
322,60,4
323,61,4
324,62,4
325,63,4
326,64,4
327,65,4
328,66,4
329,67,4
330,68,4
331,69,4
332,70,4
333,71,4
334,72,4
335,73,4
336,74,4
337,75,4
338,76,4
339,77,4
340,78,4
341,79,4
342,0,5
343,1,5
344,2,5
345,3,5
346,4,5
347,5,5
348,6,5
349,7,5
350,8,5
351,9,5
352,10,5
353,11,5
354,12,5
355,13,5
356,14,5
357,15,5
358,16,5
359,17,5
360,18,5
361,19,5
362,20,5
363,21,5
364,22,5
365,23,5
366,24,5
367,25,5
368,26,5
369,27,5
370,28,5
371,29,5
372,30,5
373,31,5
374,32,5
375,33,5
376,34,5
377,35,5
378,36,5
379,37,5
380,38,5
381,39,5
382,40,5
383,41,5
384,42,5
385,43,5
386,44,5
387,45,5
388,46,5
389,47,5
390,48,5
391,49,5
392,50,5
393,51,5
394,52,5
395,53,5
396,54,5
397,55,5
398,56,5
399,57,5
400,58,5
401,59,5
402,60,5
403,61,5
404,62,5
405,63,5
406,64,5
407,65,5
408,66,5
409,67,5
410,68,5
411,69,5
412,70,5
413,71,5
414,72,5
415,73,5
416,74,5
417,75,5
418,76,5
419,77,5
420,78,5
421,79,5
422,80,5
423,81,5
424,82,5
425,83,5
426,84,5
427,85,5
428,86,5
429,87,5
430,88,5
431,89,5
432,0,6
433,1,6
434,2,6
435,3,6
436,4,6
437,5,6
438,6,6
439,7,6
440,8,6
441,9,6
442,10,6
443,11,6
444,12,6
445,13,6
446,14,6
447,15,6
448,16,6
449,17,6
450,18,6
451,19,6
452,20,6
453,21,6
454,22,6
455,23,6
456,24,6
457,25,6
458,26,6
459,27,6
460,28,6
461,29,6
462,30,6
463,31,6
464,32,6
465,33,6
466,34,6
467,35,6
468,36,6
469,37,6
470,38,6
471,39,6
472,40,6
473,41,6
474,42,6
475,43,6
476,44,6
477,45,6
478,46,6
479,47,6
480,48,6
481,49,6
482,50,6
483,51,6
484,52,6
485,53,6
486,54,6
487,55,6
488,56,6
489,57,6
490,58,6
491,59,6
492,60,6
493,61,6
494,62,6
495,63,6
496,64,6
497,65,6
498,66,6
499,67,6
500,68,6
501,69,6
502,70,6
503,71,6
504,72,6
505,73,6
506,74,6
507,75,6
508,76,6
509,77,6
510,78,6
511,79,6
512,80,6
513,81,6
514,0,7
515,1,7
516,2,7
517,3,7
518,4,7
519,5,7
520,6,7
521,7,7
522,8,7
523,9,7
524,10,7
525,11,7
526,12,7
527,13,7
528,14,7
529,15,7
530,16,7
531,17,7
532,18,7
533,19,7
534,20,7
535,21,7
536,22,7
537,23,7
538,24,7
539,25,7
540,26,7
541,27,7
542,28,7
543,29,7
544,30,7
545,31,7
546,32,7
547,33,7
548,34,7
549,35,7
550,36,7
551,37,7
552,38,7
553,39,7
554,40,7
555,41,7
556,42,7
557,43,7
558,44,7
559,45,7
560,46,7
561,47,7
562,48,7
563,49,7
564,50,7
565,51,7
566,52,7
567,53,7
568,54,7
569,55,7
570,56,7
571,57,7
572,58,7
573,59,7
574,60,7
575,61,7
576,62,7
577,63,7
578,64,7
579,65,7
580,66,7
581,67,7
582,68,7
583,69,7
584,70,7
585,71,7
586,72,7
587,73,7
588,74,7
589,75,7
590,76,7
591,77,7
592,78,7
593,79,7
594,80,7
595,81,7
596,82,7
597,83,7
598,84,7
599,85,7
600,86,7
601,87,7
602,88,7
603,89,7
604,0,8
605,1,8
606,2,8
607,3,8
608,4,8
609,5,8
610,6,8
611,7,8
612,8,8
613,9,8
614,10,8
615,11,8
616,12,8
617,13,8
618,14,8
619,15,8
620,16,8
621,17,8
622,18,8
623,19,8
624,20,8
625,21,8
626,22,8
627,23,8
628,24,8
629,25,8
630,26,8
631,27,8
632,28,8
633,29,8
634,30,8
635,31,8
636,32,8
637,33,8
638,34,8
639,35,8
640,36,8
641,37,8
642,38,8
643,39,8
644,40,8
645,41,8
646,42,8
647,43,8
648,44,8
649,45,8
650,46,8
651,47,8
652,48,8
653,49,8
654,50,8
655,51,8
656,52,8
657,53,8
658,54,8
659,55,8
660,56,8
661,57,8
662,58,8
663,59,8
664,60,8
665,61,8
666,62,8
667,63,8
668,64,8
669,65,8
670,66,8
671,67,8
672,68,8
673,69,8
674,70,8
675,71,8
676,72,8
677,73,8
678,74,8
679,75,8
680,76,8
681,77,8
682,78,8
683,79,8
