,bulk,SUB,ROI
0,0,1,vvs
1,1,1,vvs
2,2,1,vvs
3,3,1,vvs
4,4,1,vvs
5,5,1,vvs
6,6,1,vvs
7,7,1,vvs
8,8,1,vvs
9,9,1,vvs
10,10,1,vvs
11,11,1,vvs
12,12,1,vvs
13,13,1,vvs
14,14,1,vvs
15,15,1,vvs
16,16,1,vvs
17,17,1,vvs
18,18,1,vvs
19,19,1,vvs
20,20,1,vvs
21,21,1,vvs
22,22,1,vvs
23,23,1,vvs
24,24,1,vvs
25,25,1,vvs
26,26,1,vvs
27,27,1,vvs
28,28,1,vvs
29,29,1,vvs
30,30,1,vvs
31,31,1,vvs
32,32,1,vvs
33,33,1,vvs
34,34,1,vvs
35,35,1,vvs
36,36,1,vvs
37,37,1,vvs
38,38,1,vvs
39,39,1,vvs
40,40,1,vvs
41,41,1,vvs
42,42,1,vvs
43,43,1,vvs
44,44,1,vvs
45,45,1,vvs
46,46,1,vvs
47,47,1,vvs
48,48,1,vvs
49,49,1,vvs
50,50,1,vvs
51,51,1,vvs
52,52,1,vvs
53,53,1,vvs
54,54,1,vvs
55,55,1,vvs
56,56,1,vvs
57,57,1,vvs
58,58,1,vvs
59,59,1,vvs
60,60,1,vvs
61,61,1,vvs
62,62,1,vvs
63,63,1,vvs
64,64,1,vvs
65,65,1,vvs
66,66,1,vvs
67,67,1,vvs
68,68,1,vvs
69,69,1,vvs
70,70,1,vvs
71,71,1,vvs
72,72,1,vvs
73,73,1,vvs
74,74,1,vvs
75,75,1,vvs
76,76,1,vvs
77,77,1,vvs
78,78,1,vvs
79,79,1,vvs
80,80,1,vvs
81,81,1,vvs
82,82,1,vvs
83,83,1,vvs
84,84,1,vvs
85,85,1,vvs
86,86,1,vvs
87,87,1,vvs
88,88,1,vvs
89,89,1,vvs
90,0,2,vvs
91,1,2,vvs
92,2,2,vvs
93,3,2,vvs
94,4,2,vvs
95,5,2,vvs
96,6,2,vvs
97,7,2,vvs
98,8,2,vvs
99,9,2,vvs
100,10,2,vvs
101,11,2,vvs
102,12,2,vvs
103,13,2,vvs
104,14,2,vvs
105,15,2,vvs
106,16,2,vvs
107,17,2,vvs
108,18,2,vvs
109,19,2,vvs
110,20,2,vvs
111,21,2,vvs
112,22,2,vvs
113,23,2,vvs
