,bulk,SUB
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,0,2
11,1,2
12,2,2
13,3,2
14,4,2
15,5,2
16,6,2
17,7,2
18,8,2
19,9,2
20,0,3
21,1,3
22,2,3
23,3,3
24,4,3
25,5,3
26,6,3
27,7,3
28,8,3
29,9,3
30,0,4
31,1,4
32,2,4
33,3,4
34,4,4
35,5,4
36,6,4
37,7,4
38,8,4
39,9,4
40,0,5
41,1,5
42,2,5
43,3,5
44,4,5
45,5,5
46,6,5
47,7,5
48,8,5
49,9,5
50,0,6
51,1,6
52,2,6
53,3,6
54,4,6
55,5,6
56,6,6
57,7,6
58,8,6
59,9,6
60,0,7
61,1,7
62,2,7
63,3,7
64,4,7
65,5,7
66,6,7
67,7,7
68,8,7
69,9,7
70,0,8
71,1,8
72,2,8
73,3,8
74,4,8
75,5,8
76,6,8
77,7,8
78,8,8
79,9,8
