,bulk,SUB,ROI
0,0,1,vvs
1,1,1,vvs
2,2,1,vvs
3,3,1,vvs
4,4,1,vvs
5,5,1,vvs
6,6,1,vvs
7,7,1,vvs
8,8,1,vvs
9,9,1,vvs
10,0,2,vvs
11,1,2,vvs
12,2,2,vvs
13,3,2,vvs
14,4,2,vvs
15,5,2,vvs
16,6,2,vvs
17,7,2,vvs
18,8,2,vvs
19,9,2,vvs
20,0,3,vvs
21,1,3,vvs
22,2,3,vvs
23,3,3,vvs
24,4,3,vvs
25,5,3,vvs
26,6,3,vvs
27,7,3,vvs
28,8,3,vvs
29,9,3,vvs
30,0,4,vvs
31,1,4,vvs
32,2,4,vvs
33,3,4,vvs
34,4,4,vvs
35,5,4,vvs
36,6,4,vvs
37,7,4,vvs
38,8,4,vvs
39,9,4,vvs
40,0,5,vvs
41,1,5,vvs
42,2,5,vvs
43,3,5,vvs
44,4,5,vvs
45,5,5,vvs
46,6,5,vvs
47,7,5,vvs
48,8,5,vvs
49,9,5,vvs
50,0,6,vvs
51,1,6,vvs
52,2,6,vvs
53,3,6,vvs
54,4,6,vvs
55,5,6,vvs
56,6,6,vvs
57,7,6,vvs
58,8,6,vvs
59,9,6,vvs
60,0,7,vvs
61,1,7,vvs
62,2,7,vvs
63,3,7,vvs
64,4,7,vvs
65,5,7,vvs
66,6,7,vvs
67,7,7,vvs
68,8,7,vvs
69,9,7,vvs
70,0,8,vvs
71,1,8,vvs
72,2,8,vvs
73,3,8,vvs
74,4,8,vvs
75,5,8,vvs
76,6,8,vvs
77,7,8,vvs
78,8,8,vvs
79,9,8,vvs
80,0,1,A1
81,1,1,A1
82,2,1,A1
83,3,1,A1
84,4,1,A1
85,5,1,A1
86,6,1,A1
87,7,1,A1
88,8,1,A1
89,9,1,A1
90,0,2,A1
91,1,2,A1
92,2,2,A1
93,3,2,A1
94,4,2,A1
95,5,2,A1
96,6,2,A1
97,7,2,A1
98,8,2,A1
99,9,2,A1
100,0,3,A1
101,1,3,A1
102,2,3,A1
103,3,3,A1
104,4,3,A1
105,5,3,A1
106,6,3,A1
107,7,3,A1
108,8,3,A1
109,9,3,A1
110,0,4,A1
111,1,4,A1
112,2,4,A1
113,3,4,A1
114,4,4,A1
115,5,4,A1
116,6,4,A1
117,7,4,A1
118,8,4,A1
119,9,4,A1
120,0,5,A1
121,1,5,A1
122,2,5,A1
123,3,5,A1
124,4,5,A1
125,5,5,A1
126,6,5,A1
127,7,5,A1
128,8,5,A1
129,9,5,A1
130,0,6,A1
131,1,6,A1
132,2,6,A1
133,3,6,A1
134,4,6,A1
135,5,6,A1
136,6,6,A1
137,7,6,A1
138,8,6,A1
139,9,6,A1
140,0,7,A1
141,1,7,A1
142,2,7,A1
143,3,7,A1
144,4,7,A1
145,5,7,A1
146,6,7,A1
147,7,7,A1
148,8,7,A1
149,9,7,A1
150,0,8,A1
151,1,8,A1
152,2,8,A1
153,3,8,A1
154,4,8,A1
155,5,8,A1
156,6,8,A1
157,7,8,A1
158,8,8,A1
159,9,8,A1
