,Bulk,SUB,ROI
0,0,1,vvs
1,1,1,vvs
2,2,1,vvs
3,3,1,vvs
4,4,1,vvs
5,5,1,vvs
6,6,1,vvs
7,7,1,vvs
8,8,1,vvs
9,9,1,vvs
10,10,1,vvs
11,11,1,vvs
12,12,1,vvs
13,13,1,vvs
14,14,1,vvs
15,15,1,vvs
16,16,1,vvs
17,17,1,vvs
18,18,1,vvs
19,19,1,vvs
20,20,1,vvs
21,21,1,vvs
22,22,1,vvs
23,23,1,vvs
24,24,1,vvs
25,25,1,vvs
26,26,1,vvs
27,27,1,vvs
28,28,1,vvs
29,29,1,vvs
30,30,1,vvs
31,31,1,vvs
32,32,1,vvs
33,33,1,vvs
34,34,1,vvs
35,35,1,vvs
36,36,1,vvs
37,37,1,vvs
38,38,1,vvs
39,39,1,vvs
40,40,1,vvs
41,41,1,vvs
42,42,1,vvs
43,43,1,vvs
44,44,1,vvs
45,45,1,vvs
46,46,1,vvs
47,47,1,vvs
48,48,1,vvs
49,49,1,vvs
50,50,1,vvs
51,51,1,vvs
52,52,1,vvs
53,53,1,vvs
54,54,1,vvs
55,55,1,vvs
56,56,1,vvs
57,57,1,vvs
58,58,1,vvs
59,59,1,vvs
60,60,1,vvs
61,61,1,vvs
62,0,1,A1
63,1,1,A1
64,2,1,A1
65,3,1,A1
66,4,1,A1
67,5,1,A1
68,6,1,A1
69,7,1,A1
70,8,1,A1
71,9,1,A1
72,10,1,A1
73,11,1,A1
74,12,1,A1
75,13,1,A1
76,14,1,A1
77,15,1,A1
78,16,1,A1
79,0,2,vvs
80,1,2,vvs
81,2,2,vvs
82,3,2,vvs
83,4,2,vvs
84,5,2,vvs
85,6,2,vvs
86,7,2,vvs
87,8,2,vvs
88,9,2,vvs
89,10,2,vvs
90,11,2,vvs
91,12,2,vvs
92,13,2,vvs
93,14,2,vvs
94,15,2,vvs
95,16,2,vvs
96,17,2,vvs
97,18,2,vvs
98,19,2,vvs
99,20,2,vvs
100,21,2,vvs
101,22,2,vvs
102,23,2,vvs
103,24,2,vvs
104,25,2,vvs
105,26,2,vvs
106,27,2,vvs
107,28,2,vvs
108,29,2,vvs
109,30,2,vvs
110,31,2,vvs
111,32,2,vvs
112,33,2,vvs
113,34,2,vvs
114,35,2,vvs
115,36,2,vvs
